crash_date,crash_time,borough,zip_code,longitude,latitude,on_street_name,number_of_persons_injured,number_of_persons_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed
2019-01-01T00:00:00.000,10:00,STATEN ISLAND,10306,-74.1223140,40.5617560,GUYON AVENUE                    ,0,0,0,0,0,0,0,0
2019-01-01T00:00:00.000,17:20,BROOKLYN,11214,-73.9899300,40.5918770,,0,0,0,0,0,0,0,0
2019-01-01T00:00:00.000,9:45,,,-73.8376400,40.7423300,VAN WYCK EXPWY                  ,0,0,0,0,0,0,0,0
2019-01-01T00:00:00.000,18:25,,,-73.9455400,40.6634500,BROOKLYN AVENUE                 ,1,0,0,0,0,0,1,0
2019-01-01T00:00:00.000,11:30,,,-73.8150000,40.7407840,KISSENA BOULEVARD               ,1,0,0,0,0,0,1,0
2019-01-01T00:00:00.000,4:39,,,-73.9090500,40.8626800,WEST FORDHAM ROAD               ,0,0,0,0,0,0,0,0
2019-01-01T00:00:00.000,8:15,BROOKLYN,11236,-73.9163300,40.6495300,REMSEN AVENUE                   ,0,0,0,0,0,0,0,0
2019-01-01T00:00:00.000,16:00,MANHATTAN,10010,-73.9854350,40.7414700,PARK AVENUE SOUTH               ,2,0,0,0,0,0,2,0
2019-01-01T00:00:00.000,13:45,,,,,westchester avenue              ,0,0,0,0,0,0,0,0
2019-01-01T00:00:00.000,3:55,,,-73.9707640,40.7558200,3 AVENUE                        ,1,0,1,0,0,0,0,0
2019-01-01T00:00:00.000,14:10,BROOKLYN,11218,-73.9883600,40.6445600,FORT HAMILTON PARKWAY           ,0,0,0,0,0,0,0,0
2019-01-01T00:00:00.000,0:40,,,-73.7638100,40.6737670,BEDELL STREET                   ,0,0,0,0,0,0,0,0
2019-01-01T00:00:00.000,13:40,STATEN ISLAND,10306,-74.1039300,40.5870740,SEAVER AVENUE                   ,1,0,1,0,0,0,0,0
2019-01-01T00:00:00.000,2:25,BROOKLYN,11237,-73.9103600,40.6942600,KNICKERBOCKER AVENUE            ,3,0,0,0,0,0,3,0
2019-01-01T00:00:00.000,19:40,BROOKLYN,11235,-73.9522550,40.5863720,,0,0,0,0,0,0,0,0
2019-01-01T00:00:00.000,12:15,QUEENS,11362,-73.7333700,40.7614440,THORNHILL AVENUE                ,0,0,0,0,0,0,0,0
2019-01-01T00:00:00.000,19:49,BRONX,10460,-73.8837900,40.8486820,MAPES AVENUE                    ,0,0,0,0,0,0,0,0
2019-01-01T00:00:00.000,1:30,QUEENS,11411,-73.7436000,40.6962170,LINDEN BOULEVARD                ,0,0,0,0,0,0,0,0
2019-01-01T00:00:00.000,3:20,BROOKLYN,11220,-74.0147600,40.6339600,65 STREET                       ,1,0,1,0,0,0,0,0
2019-01-01T00:00:00.000,18:05,,,-73.9916150,40.5874020,BELT PARKWAY                    ,1,0,0,0,0,0,1,0
2019-01-01T00:00:00.000,22:00,QUEENS,11411,-73.7410100,40.6954080,219 STREET                      ,2,0,0,0,0,0,2,0
2019-01-01T00:00:00.000,4:45,QUEENS,11419,-73.8206000,40.6851400,107 AVENUE                      ,0,0,0,0,0,0,0,0
2019-01-01T00:00:00.000,21:00,QUEENS,11435,-73.8153800,40.7041700,HILLSIDE AVENUE                 ,0,0,0,0,0,0,0,0
2019-01-01T00:00:00.000,5:10,BROOKLYN,11234,-73.9289000,40.6304660,,1,0,0,0,0,0,1,0
2019-01-01T00:00:00.000,5:45,,,-73.7587300,40.7645900,CROSS ISLAND PARKWAY            ,3,0,0,0,0,0,3,0
2019-01-01T00:00:00.000,6:10,QUEENS,11101,-73.9196100,40.7534800,,1,0,0,0,0,0,1,0
2019-01-01T00:00:00.000,15:45,BROOKLYN,11212,-73.9194200,40.6657800,HOWARD AVENUE                   ,0,0,0,0,0,0,0,0
2019-01-01T00:00:00.000,14:45,MANHATTAN,10005,-74.0089950,40.7040800,WATER STREET                    ,0,0,0,0,0,0,0,0
2019-01-01T00:00:00.000,1:25,,,,,EAST 58 STREET                  ,1,0,0,0,0,0,1,0
2019-01-01T00:00:00.000,15:17,BRONX,10455,-73.9152600,40.8126950,,0,0,0,0,0,0,0,0
2019-01-01T00:00:00.000,1:55,,,,,BROOKLYN QUEENS EXPRESSWAY      ,0,0,0,0,0,0,0,0
2019-01-01T00:00:00.000,0:05,BROOKLYN,11207,-73.8973800,40.6626740,RIVERDALE AVENUE                ,0,0,0,0,0,0,0,0
2019-01-01T00:00:00.000,16:30,BROOKLYN,11203,-73.9426700,40.6558570,,0,0,0,0,0,0,0,0
2019-01-01T00:00:00.000,20:40,MANHATTAN,10019,-73.9844740,40.7607730,WEST 49 STREET                  ,0,0,0,0,0,0,0,0
2019-01-01T00:00:00.000,6:57,,,-73.8018600,40.6749340,VAN WYCK EXPWY                  ,0,0,0,0,0,0,0,0
2019-01-01T00:00:00.000,14:45,QUEENS,11421,-73.8528400,40.6961360,WOODHAVEN BOULEVARD             ,0,0,0,0,0,0,0,0
2019-01-01T00:00:00.000,4:04,,,-73.9147400,40.6481000,REMSEN AVENUE                   ,1,0,0,0,0,0,1,0
2019-01-01T00:00:00.000,16:20,QUEENS,11358,-73.8038940,40.7680320,161 STREET                      ,0,0,0,0,0,0,0,0
2019-01-01T00:00:00.000,5:38,BROOKLYN,11213,-73.9311300,40.6687970,UTICA AVENUE                    ,1,0,1,0,0,0,0,0
2019-01-01T00:00:00.000,17:10,QUEENS,11413,-73.7483600,40.6648400,,0,0,0,0,0,0,0,0
2019-01-01T00:00:00.000,4:50,MANHATTAN,10001,-73.9966200,40.7510260,,0,0,0,0,0,0,0,0
